Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,Area_Perimeter_Ratio,Log_Area,Shape_Complexity,Axis_Difference,Eccentricity_Roundness,Class_Encoded
28395,610.2909999999998,208.17811670852728,173.88874704163598,1.1971914241160242,0.5498121871383472,28715,190.14109727451068,0.7639225181598063,0.9888559986069998,0.9580271262501276,0.9133577547957626,0.0073315061351832125,0.0031472891673356897,0.8342223882455564,0.9987238890131684,SEKER,46.526984667969884,10.254003569159277,13.116925679908427,34.289369666891304,0.5267349896214482,5
28734,638.0179999999998,200.52479566364812,182.73441935102403,1.0973564606810586,0.4117852513672404,29172,191.27275048584463,0.7839681327076286,0.9849856026326614,0.8870336365528869,0.9538608422605128,0.006978659276941882,0.0035636237121009634,0.9098505063979352,0.9984303314497068,SEKER,45.03634693692029,10.265871170941843,14.166735168232746,17.79037631262409,0.36526736899912793,5
29380,624.11,212.82612986020646,175.93114261271373,1.2097126563243639,0.5627273167504117,29690,193.41090409881,0.7781132475237036,0.9895587739979792,0.9478494730164112,0.9087742385103312,0.007243911840034256,0.003047733217213173,0.8258706165800325,0.9990661373632715,SEKER,47.075034849625865,10.288103485908332,13.257770323349218,36.894987247492736,0.5333807906338168,5
30008,645.8839999999999,210.5579989609251,182.51651569530463,1.1536380593218931,0.4986159764027165,30724,195.46706182478098,0.7826812728221179,0.9766957427418304,0.9039363743173376,0.9283288347599437,0.007016728837674124,0.003214562079390055,0.8617944254467547,0.9941988485068199,SEKER,46.460355110205555,10.30925261565329,13.901830893628361,28.041483265620457,0.45071711788617075,5
30140,620.1339999999999,201.84788216673786,190.27927878664838,1.0607980199097815,0.333679657773177,30417,195.8965029762344,0.7730980351921203,0.9908932504849262,0.9848770693509096,0.970515523241471,0.006697010025439212,0.003664971964451683,0.9419003808526664,0.9991660589607774,SEKER,48.60239883638053,10.313641650130425,12.759329062906431,11.568603380089485,0.328633443449661,5
30279,634.927,212.5605564253862,181.5101815997528,1.1710668489886833,0.5204006602912636,30600,196.34770224027577,0.7756884846932242,0.9895098039215686,0.9438517832505928,0.9237259515228944,0.007020065273799868,0.0031527787389953013,0.8532696335168767,0.9992357810603374,SEKER,47.688946918307145,10.318242707551384,13.313923687341063,31.050374825633412,0.49118109122069514,5
30477,670.033,211.05015532184012,184.0390501129434,1.146768336352096,0.489477894457261,30970,196.98863318702823,0.7624015009380863,0.9840813690668389,0.8530798687748348,0.9333735523038642,0.006924899278860785,0.003242016245376514,0.8711861881403341,0.9990487356266152,SEKER,45.485819355166086,10.324760390849805,14.730590973160087,27.01110520889671,0.41756373797178264,5
30519,629.7269999999999,212.99675505634582,182.737203764065,1.1655905347624198,0.5137595579635882,30847,197.12432033052752,0.7706818181818181,0.989366875222874,0.9671092439901504,0.9254803918415592,0.006979152497013198,0.003158285146362523,0.8565139556832061,0.998344559636264,SEKER,48.46385814805464,10.326137485398393,12.993744700973158,30.259551292280833,0.49686161769487963,5
30685,635.6809999999998,213.53414516451642,183.1571462959737,1.1658521083280848,0.5140808603472914,31044,197.6596960186837,0.7715614785013829,0.9884357685865224,0.9542398075022368,0.9256584976908389,0.006958909733241532,0.003151549518811687,0.8568436543472606,0.9989529809282944,SEKER,48.271066777204304,10.331561803505151,13.168985946260381,30.376998868542728,0.4905564212183836,5
30834,631.934,217.22781276440926,180.89746857382102,1.2008339004244408,0.5536422246843214,31120,198.13901211615044,0.7836828059473885,0.990809768637532,0.9702782301205948,0.9121254299560562,0.007045074034001727,0.003008039812119807,0.8319727999725202,0.9990611424380448,SEKER,48.79307016239038,10.336405687425593,12.951306361678665,36.33034419058825,0.5371869978867321,5
